Sv_Seed = 4047136830
Config: data_width=32, n_packets=100
a,b,r,op
ffffffff,ffffffff,ffffffff,funcrl
00000000,00000000,00000000,funcrr
fe3f20e8,7fffffff,00000000,funclsr
7fffffff,00000000,00000000,bitand
ffffffff,7fffffff,7ffffffe,add
7fffffff,ffffffff,00000000,funclsr
00000000,ffffffff,00000000,funclsl
ffffffff,7fffffff,fffe0001,mult
00000000,00000000,00000000,sub
ffffffff,7fffffff,ffffffff,funcrl
00000000,7fffffff,00000000,funclsr
00000000,5732426d,5732426d,bitxor
00000000,ffffffff,00000000,mult
7fffffff,ffffffff,00000000,funclsl
00000000,ffffffff,00000000,funclsr
00000000,00000000,00000000,bitxor
00000000,ffffffff,00000000,funcrl
7fffffff,ffffffff,00000000,funclsl
7fffffff,7fffffff,bfffffff,funcrl
00000000,7fffffff,00000000,funcrr
00000000,7fffffff,00000000,bitand
7fffffff,ffffffff,7ffffffe,add
7fffffff,7fffffff,00000000,sub
00000000,00000000,00000000,funcrl
7fffffff,00000000,7fffffff,funclsl
00000000,978bfd63,978bfd63,bitxor
7fffffff,ffffffff,80000000,bitxor
ffffffff,00000000,ffffffff,funclsl
00000000,00000000,00000000,funclsl
7fffffff,ffffffff,80000000,sub
ffffffff,7fffffff,7fffffff,bitand
00000000,00000000,00000000,sub
00000000,f3e22a0c,00000000,bitand
7fffffff,ffffffff,7ffffffe,add
00000000,7fffffff,00000000,mult
7fffffff,00000000,7fffffff,bitxor
00000000,00000000,00000000,bitxor
00000000,ffffffff,00000000,bitand
ffffffff,7fffffff,80000000,sub
00000000,7fffffff,00000000,funcrl
ffffffff,00000000,ffffffff,bitor
00000000,00000000,00000000,sub
00000000,7fffffff,00000000,bitand
ffffffff,00000000,ffffffff,bitxor
ffffffff,00000000,ffffffff,bitxor
ffffffff,ffffffff,fffffffe,add
7fffffff,00000000,7fffffff,funcrl
ffffffff,7fffffff,80000000,sub
00000000,7fffffff,80000001,sub
7fffffff,ffffffff,80000000,sub
00000000,00000000,00000000,bitxor
00000000,7fffffff,00000000,funclsr
00000000,ffffffff,00000000,funcrr
7fffffff,00000000,00000000,mult
ffffffff,00000000,ffffffff,bitxor
7fffffff,7fffffff,bfffffff,funcrl
7fffffff,7fffffff,fffffffe,funcrr
7fffffff,7fffffff,fffe0001,mult
00000000,7fffffff,7fffffff,add
ffffffff,7fffffff,7ffffffe,add
ffffffff,00000000,ffffffff,funcrr
7fffffff,7fffffff,00000000,funclsl
7fffffff,ffffffff,00000000,funclsl
00000000,00000000,00000000,funclsr
7fffffff,00000000,7fffffff,bitxor
ffffffff,7fffffff,00000000,funclsr
7fffffff,ffffffff,fffffffe,funcrr
00000000,00000000,00000000,funcrr
00000000,7fffffff,00000000,mult
ffffffff,ffffffff,ffffffff,funcrl
00000000,7fffffff,00000000,mult
ffffffff,ffffffff,ffffffff,funcrr
00000000,ffffffff,ffffffff,bitor
ffffffff,00000000,ffffffff,funcrr
7fffffff,ffffffff,80000000,bitxor
00000000,ffffffff,ffffffff,bitor
ffffffff,7fffffff,ffffffff,funcrr
8c8fd27a,7fffffff,00000000,funclsl
ffffffff,7fffffff,7fffffff,bitand
00000000,00000000,00000000,mult
00000000,00000000,00000000,bitand
7fffffff,00000000,7fffffff,add
ffffffff,00000000,ffffffff,funclsl
00000000,7fffffff,80000001,sub
7fffffff,ffffffff,80000000,bitxor
ffffffff,00000000,ffffffff,funclsl
ffffffff,ffffffff,fffe0001,mult
7fffffff,8284042a,0284042a,bitand
00000000,ffffffff,ffffffff,bitor
00000000,00000000,00000000,add
00000000,ffffffff,00000000,funclsr
00000000,ffffffff,00000000,funclsl
00000000,7fffffff,00000000,bitand
00000000,7fffffff,00000000,funclsl
ffffffff,7fffffff,ffffffff,bitor
ffffffff,7fffffff,ffffffff,funcrl
7fffffff,ffffffff,00000000,funclsr
00000000,7fffffff,00000000,bitand
ffffffff,7fffffff,00000000,funclsl
00000000,00000000,00000000,funclsl
